Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019<R>,2020<P>
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,59.576952399347,63.262471500611,66.682482165576,72.592804087957,75.848353558577,91.498643486064,90.901561415621,89.075813023614,95.025819651727,99.927108744851,100,85.610191339545,93.875814943067,86.453215414893,81.109960105354,84.861616383977,81.030290779244,75.42429824472
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Sinaloa<C1>,94.323486489322,96.003489512949,79.872822525408,66.392766125499,81.3045332815,94.359469199109,94.734838667876,103.600315012619,99.373638596296,92.905312636912,100,97.838877678841,133.55258489297,140.217369505791,132.222381631154,128.780382828264,106.568367919929,83.111497806327
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Sonora<C1>,55.516386087245,62.923159916288,73.629911349051,63.582611421492,73.386775485348,54.39851052049,47.087570576863,53.379768421434,85.058559274795,96.362869775865,100,99.189277583974,120.711754264362,145.138242951545,141.204055984006,138.5021001538,143.475532002613,139.809013259357
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Tabasco<C1>,93.267311026874,75.075758818928,86.781863831044,87.073959205107,78.83566626736,86.583988359945,92.771459984575,88.80205341954,102.347839642922,108.626522697561,100,100.235618131793,104.250835534989,73.782252197553,59.504313056226,50.572020107539,49.939967289694,63.226888090276
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Tamaulipas<C1>,140.294689381463,121.179027511542,136.533113744972,130.239747293393,141.23896433489,143.363751721159,112.922190123923,111.450093145063,106.809714085154,97.777342800832,100,106.407435405923,113.66667566619,115.141472501957,110.175760684684,120.402818650612,117.964847863063,105.743270606658
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Tlaxcala<C1>,94.818252126837,108.390964953509,89.577318382684,114.187201428419,119.095649838482,119.301805666425,110.126254902107,123.348080065055,107.642935121841,135.271048907921,100,91.752274801491,85.743914175514,89.357733827709,90.622520969952,92.686317370556,114.128264237559,102.722798745657
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,78.757349392627,79.943809148265,74.905943959226,93.882164002543,118.715607196667,84.035743502519,82.271668569613,106.974713381044,98.926907752248,100.665785818541,100,100.01320536513,84.480642921042,80.312124805782,76.747853300532,77.181644027497,73.666993796789,76.912938756533
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Yucatán<C1>,91.434596701129,86.735766184142,86.509682758883,94.326897159352,104.248563527186,91.212075514714,92.666656375755,105.251808726773,92.12685844969,115.751863941475,100,110.505279831672,110.722101435938,107.09989823871,111.079275250633,109.766234012969,105.650185770756,104.883710712958
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Zacatecas<C1>,38.714957146062,39.917931356356,43.879618855712,42.017960234146,46.076166969133,62.378946428918,79.069823248574,110.958070207943,112.157503370995,113.550999392351,100,114.26475258235,114.890855105487,85.293343153743,82.245033167278,63.60983075531,53.645664097535,57.755632507069
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,NA,4.285352859862,13.355082747827,-1.354027206102,6.867077783831,-3.760924761952,-5.042949521574,14.609911296448,12.640704513004,8.790761590863,2.283467482434,1.203930241358,4.804338911434,3.703193691636,-0.045300490941,-1.395525396811,-2.790683098537,-3.018352342235
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,NA,-3.399852059653,-11.236536238058,4.284022136145,16.944906046274,-14.630341566703,11.032743196106,-10.045533469736,-2.531100802678,6.323253655401,78.422633773945,0.99251429692,-18.650477258039,-7.417565195587,3.211562876396,-13.193774214995,-13.322239339593,14.110446935336
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Baja California<C1>,NA,0.232036127534,-9.09895846447,-1.891493051548,6.046442323527,-6.26860815098,-20.905209142035,1.086884961367,-0.791202631948,-0.425512445095,-5.508351829691,-2.993591654562,18.767354375808,1.840066357634,5.818690952207,-4.283228095988,-3.344476250286,15.958085154944
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,NA,15.818877503735,3.685248602659,-9.283902916162,4.659833957006,9.785808165165,0.62909380563,-3.389260770308,2.974148764359,5.04302826159,39.014127776647,3.791569509309,6.957099968229,12.766340130605,-1.208062523678,5.606935132832,-12.400698298566,-9.948704326987
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Campeche<C1>,NA,2.217731184745,13.284261814464,11.752272538889,-5.962196976253,-23.204066430042,3.466357785183,7.461493070683,-9.071081437538,-0.495527273754,-4.956694856131,-18.530984436169,-0.666588531747,-13.960296742032,-22.885793871866,-8.003512164761,-4.978736770889,0.88619343683
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,NA,-6.454985825121,22.766687128174,-5.148791744939,4.130255048455,-2.301194139798,-11.592803885869,23.704684116814,11.300144977315,1.486333803752,-6.081044668803,0.890721627071,-13.880822887256,3.550185778471,2.626434375319,-9.714767762915,-3.368140319743,-22.746165296968
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Colima<C1>,NA,-7.984562968539,4.959526837318,5.624475057525,8.339840544866,-11.404151714463,-5.807803366233,13.388224774727,-4.624267830974,6.3913011889,-0.551566052669,-7.450789591635,-13.326024762482,3.672344503196,3.753878218034,2.113584091761,-4.03980291876,4.423310604487
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Chiapas<C1>,NA,-30.936462874494,36.419918769525,-0.560189120007,1.352369282687,-20.417787687353,-13.986083647539,11.826325633646,-7.14603809149,12.689472099223,-21.939891521666,9.017843274617,10.631037966954,-12.454678898601,-13.994632113651,-14.110207800276,-17.58086115068,0.351584843882
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Chihuahua<C1>,NA,-7.212823436317,63.219772038481,20.531303082121,2.692669117775,-5.012821593636,-13.40978228628,2.143023952477,7.550521310605,23.675921427943,12.381614967888,-7.240579157397,-10.381335451768,20.612618930386,23.407781712366,26.278451416002,-7.818272661764,-2.075813962266
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,NA,-1.254862695534,-9.392687650124,15.204190210612,-2.027215325939,-15.226136779227,5.48173712971,-13.319336896063,17.5311671018,8.511682263835,-15.646940822468,14.632268376835,-6.87497343026,15.100110473026,1.258051210457,-4.044526610996,-6.634773167008,2.843552166765
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Durango<C1>,NA,5.518874728169,4.587591671001,3.991520309339,0.514311095977,-17.107311086504,-5.497707381567,4.541547805658,9.445316613782,12.211225106512,30.168435758605,0.144123978459,0.926052728647,-8.412853714974,-10.068203930103,3.830579746757,-0.650719449855,6.483237137635
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Guanajuato<C1>,NA,-11.800560628992,8.459207914837,21.116206562643,-12.288959008952,-1.694840052121,-26.654102101528,-7.28967437904,-5.955654943907,36.15989438215,19.133340371662,-12.192744364847,6.831284296605,-1.938838708974,6.129135137711,-3.526532559768,-25.288904046491,-15.177084015335
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Guerrero<C1>,NA,-2.991328107983,25.761730067423,11.158941028839,82.379354052389,73.216598497133,-25.544691332708,7.0774735621,-10.981802942962,38.00769328012,10.970383840561,-23.447113880814,10.460771681934,64.786093842549,1.595893912298,10.428966974609,18.456591376778,-3.969670727033
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Hidalgo<C1>,NA,16.370737593015,-14.927449878083,-1.453082317809,15.547216985521,15.516249782083,-21.820457192538,23.281554929767,2.714410267721,10.18366907659,8.590934977791,2.077970783708,18.751212917886,-11.061191808035,-5.140618067743,-0.354795450407,-5.14337054532,-10.634149032927
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Jalisco<C1>,NA,-8.084124215486,11.719635208679,-2.15497756291,-18.512069481768,-9.706616144713,1.93364813436,36.670847538869,36.508358826969,5.513379242666,-4.953860313411,4.370993909638,-6.103122545226,-3.647311139032,0.21064047442,-25.219596286818,-14.552450937084,17.861570120221
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|México<C1>,NA,-0.846803492394,9.12959613497,2.476161062901,4.817018553294,-2.157911181154,3.453594879904,9.214172341695,-1.169069500674,4.528135514318,17.421471463113,-4.129595258277,-0.078745454594,4.936203814284,-5.472259377035,-2.504466281346,-1.917627781916,5.105469573512
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,NA,19.647511087295,32.485776307403,-7.469561001384,-37.908788853898,-18.300318269608,-13.082323389762,8.888358412746,4.932110666947,15.445545753618,27.904611157228,-14.382677274073,-10.59433938163,-1.584186176924,-2.412669896747,-4.812472514037,-7.92893258715,-12.668295472267
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Morelos<C1>,NA,-9.725910941853,9.449887211483,-10.553029017014,1.011966209634,7.267268541281,19.015985434143,11.239855586756,-17.823462824087,-22.85921088506,-7.319811196114,7.496322661485,-13.040543964862,3.348670682158,28.037628243927,-4.881359167,2.972821548905,-11.96632312295
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Nayarit<C1>,NA,92.159735640287,1.592014127637,-10.879868978925,2.201108186126,1.422313518158,-9.136860675823,-10.203644980089,0.72086233201,7.023653157638,0.239516809477,17.229428680745,0.198421889717,3.255044064421,-9.193052820248,-17.913259939277,5.971855392563,-2.891263086476
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Nuevo León<C1>,NA,6.516430850758,-2.039819136318,-4.716480244107,19.06149869369,-8.917077568875,-9.327061816657,4.080723079417,-3.719584838714,4.258630215708,-8.249134976503,5.749382027831,16.452195911593,-4.348035932671,2.56244913461,0.887544149072,0.119421783582,12.982606689542
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Oaxaca<C1>,NA,0.183363634946,55.066619100073,12.524715006385,-54.555340565302,4.40900318188,13.224255292574,10.190506657261,265.257630817582,144.498772815291,15.884279047661,54.426776761332,8.691526115952,4.146220930652,2.395127735904,-10.528369388406,-7.64974099899,-39.485991470581
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Puebla<C1>,NA,0.290026490609,19.062522819765,11.461175289727,14.666314425831,-5.418879093339,-36.509277449505,1.308150463082,13.926452358748,0.384530054392,-18.687030124677,4.944253616857,-0.044715703295,8.03851531361,-7.949092905006,2.776394678115,12.927905281309,0.127043936562
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Querétaro<C1>,NA,-7.18901275139,6.52898421091,1.668231942832,28.515286621084,6.870206478443,41.067526384383,3.682639759829,4.060775196821,8.751227666421,27.776752206488,11.431305643669,-19.129721195233,-4.11669684565,4.298660952149,-2.13912641121,-30.107933099532,10.378037963698
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Quintana Roo<C1>,NA,36.776173650086,-17.417330679533,28.942240431698,-26.503259397298,3.798571964706,-2.798142790847,-13.520929512242,-28.809712151175,-29.632979101014,0.459689446443,50.931872958765,3.813611724844,-11.040826619926,-6.744341212512,19.12766725729,3.621366861036,-11.78811154702
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,NA,6.1861490943,5.406065529596,8.863380201873,4.484672429344,20.633658073277,-0.652558385233,-2.008489583209,6.679710716236,5.157849846586,0.072944425256,-14.389808660455,9.654952844036,-7.906828327057,-6.180516576389,4.625395295165,-4.514792161626,-6.918391234454
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Sinaloa<C1>,NA,1.781107851455,-16.802167368474,-16.876900018928,22.459927528571,16.056836428061,0.397807948638,9.358200709903,-4.079791085392,-6.509096427133,7.636471114214,-2.161122321159,36.502572455257,4.990382341279,-5.701852703995,-2.603189233493,-17.247980181854,-22.011100077301
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Sonora<C1>,NA,13.341599392661,17.015597193477,-13.645677067203,15.419568093647,-25.874232570212,-13.439595815538,13.362757448486,59.346062731589,13.290032887284,3.774410447297,-0.810722416026,21.698390395239,20.235385390629,-2.710648060451,-1.91351148618,3.590871072201,-2.555501061456
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Tabasco<C1>,NA,-19.504746097702,15.592389868945,0.336585734816,-9.461259155957,9.828447528188,7.146207678616,-4.278693647481,15.253911032199,6.134651279934,-7.941451574934,0.235618131793,4.005779061408,-29.226224596742,-19.351454741579,-15.011168921901,-1.249807337142,26.605785949972
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Tamaulipas<C1>,NA,-13.625363835366,12.670580502858,-4.609406669897,8.445361166679,1.504391791794,-21.233792525495,-1.303638352431,-4.163638565891,-8.456507314607,2.273182248055,6.407435405923,6.822117488853,1.297475119355,-4.312704805116,9.2824936287,-2.024845277604,-10.360355205639
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Tlaxcala<C1>,NA,14.314451618994,-17.357209227628,27.473342013431,4.298597696293,0.173101056355,-7.691040980531,12.006060838717,-12.732378919016,25.666444114338,-26.074351601968,-8.247725198509,-6.54845957659,4.21466606341,1.415419894915,2.277354876597,23.133885858556,-9.993550298953
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,NA,1.506474970003,-6.301757750492,25.33339684451,26.451715784322,-29.212556388392,-2.099195960411,30.026186706702,-7.523091555412,1.75774024055,-0.661382428128,0.01320536513,-15.530511583327,-4.934287868945,-4.438024163686,0.565215453345,-4.55373848924,4.406240559643
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Yucatán<C1>,NA,-5.139007210089,-0.260657667771,9.036230571157,10.518385176047,-12.505196782949,1.594724002094,13.581101167594,-12.470047247506,25.643993390577,-13.608302626936,10.505279831672,0.196209271264,-3.271436461422,3.715574970065,-1.182075805501,-3.749830974183,-0.725483871331
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Zacatecas<C1>,NA,3.107259568325,9.924581171277,-4.242649936609,9.658266875337,35.382238871359,26.757227839165,40.329225043442,1.080978752428,1.242445649621,-11.933844232871,14.26475258235,0.547940208146,-25.761416715516,-3.57391312587,-22.658149306191,-15.664507418837,7.661324505297
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,NA,4.285352859862,13.355082747827,-1.354027206102,6.867077783831,-3.760924761952,-5.042949521574,14.609911296448,12.640704513004,8.790761590863,2.283467482434,1.203930241358,4.804338911434,3.703193691636,-0.045300490941,-1.395525396811,-2.790683098537,-3.018352342235
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Aguascalientes<C1>,NA,-0.019348662555,-0.059234927895,0.017684401093,0.073946262571,-0.069866486578,0.04673583977,-0.049758055444,-0.009840119944,0.021271702846,0.257833484914,0.005692187139,-0.106739251715,-0.032951206658,0.012736873822,-0.054030700933,-0.048028943809,0.045359302307
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Baja California<C1>,NA,0.001537968231,-0.057965111542,-0.00966290266,0.030720627016,-0.03160482961,-0.102652722453,0.004445495762,-0.002854282675,-0.001351998942,-0.016019236749,-0.008042678146,0.048329714666,0.005369854039,0.016675575438,-0.012995287969,-0.009849954886,0.046731066268
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Baja California Sur<C1>,NA,0.30136092532,0.077971179571,-0.179669301542,0.082931348683,0.170561533327,0.012508192738,-0.071413527547,0.052825232571,0.081884741894,0.611658057063,0.080790318008,0.15203138084,0.284709371953,-0.029296255755,0.134389866657,-0.318333942823,-0.230142106392
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Campeche<C1>,NA,0.003864900224,0.022691841003,0.020062393328,-0.01153039565,-0.039487581039,0.004707134417,0.011040300598,-0.012584759433,-0.000554957957,-0.00507732881,-0.017638338992,-0.000510754405,-0.010138297278,-0.013789328771,-0.003720393936,-0.002159245922,0.000375685454
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,NA,-0.755376581279,2.389821109342,-0.585342985052,0.451487228985,-0.245106516024,-1.253510282536,2.386349142399,1.227857015745,0.159580752144,-0.609056935529,0.081916145262,-1.272613637271,0.267456433116,0.197572854012,-0.75032456446,-0.238191914008,-1.599033178604
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Colima<C1>,NA,-0.132084986359,0.072390225312,0.076015567964,0.120687836034,-0.167306570695,-0.078437518373,0.179358781463,-0.061289828911,0.071726103749,-0.006053403006,-0.079505443514,-0.130038071633,0.029636217479,0.030285191588,0.017699899437,-0.035034695116,0.037867692369
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Chiapas<C1>,NA,-0.305523197045,0.238197943642,-0.004409308576,0.010730304612,-0.153643930294,-0.087029685212,0.066659588798,-0.039300674402,0.057528534684,-0.103030441378,0.032318967333,0.041042203457,-0.050755751126,-0.048145424362,-0.041768538778,-0.045331589282,0.000768619021
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Chihuahua<C1>,NA,-0.466128898186,3.635116194701,1.699861957747,0.272395934772,-0.487298852444,-1.286614416002,0.187497433212,0.58875115735,1.762701962111,1.047954507831,-0.673330469612,-0.884848331367,1.502339172041,1.984246815083,2.750264922427,-1.047896035699,-0.26383521649
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Ciudad de México<C1>,NA,-0.001420878202,-0.010070312004,0.013029825219,-0.002028916119,-0.01397061281,0.004430517629,-0.011958285681,0.011904117319,0.006030585275,-0.011057526252,0.00852777223,-0.004538417717,0.00885728692,0.000819035107,-0.002667462004,-0.004258236255,0.00175283945
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Durango<C1>,NA,0.332811678671,0.279923663453,0.224715156426,0.030523791871,-0.954944889269,-0.264327874049,0.217310324759,0.41224912313,0.517850358595,1.319599442622,0.008022797241,0.051009772124,-0.446256988415,-0.471667651996,0.161457657061,-0.028881289605,0.29408409409
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Guanajuato<C1>,NA,-0.330765391031,0.200534745063,0.478962225008,-0.34223416019,-0.038738902348,-0.622311063993,-0.131461991774,-0.08688154524,0.44041539349,0.291664332755,-0.216482039423,0.10523392939,-0.030444882044,0.091007400943,-0.055597699239,-0.390076866535,-0.179922609335
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Guerrero<C1>,NA,-0.029869108681,0.239287757958,0.114994201669,0.956613230573,1.450972857996,-0.911147030485,0.197940431515,-0.286949744725,0.784850871451,0.287374835261,-0.66637385691,0.224882919655,1.467923264995,0.0574584629,0.381649076572,0.756416174893,-0.198250885064
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Hidalgo<C1>,NA,0.233006368722,-0.237085851847,-0.017320430712,0.185133415978,0.199771933381,-0.337212136066,0.296221954464,0.037149816841,0.127092957095,0.108588254331,0.027884957473,0.25380172184,-0.169639081972,-0.067614291663,-0.004428720569,-0.064879550179,-0.130894849064
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Jalisco<C1>,NA,-0.15681793165,0.200375238307,-0.036312924062,-0.309408911229,-0.123707222427,0.023121134319,0.470698687259,0.558815007774,0.102272178018,-0.089124870061,0.073074254732,-0.105224949093,-0.056339285404,0.003023096795,-0.362876612518,-0.15879915034,0.171326042179
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|México<C1>,NA,-0.023641963598,0.242346010396,0.063279749058,0.127881483248,-0.056188932259,0.091424560341,0.265745665697,-0.032129725261,0.109190190368,0.403636310966,-0.109838592441,-0.001984084421,0.118578608901,-0.133018841066,-0.057572850748,-0.043586797018,0.117087195866
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,NA,0.489624034605,0.928814077428,-0.24960821497,-1.188253133504,-0.333283565589,-0.202259560891,0.125784356034,0.066312768365,0.193455310016,0.37088437371,-0.239046866695,-0.148964048065,-0.019002010672,-0.027464013283,-0.053484085631,-0.085065696354,-0.12872805491
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Morelos<C1>,NA,-0.13363875245,0.112400579172,-0.12119742042,0.010538250886,0.071532371233,0.208624846361,0.154556048501,-0.237878723316,-0.222575433087,-0.050536822507,0.046896214967,-0.086652571866,0.018462722449,0.154055546062,-0.034356683285,0.020184050329,-0.0860626922
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Nayarit<C1>,NA,0.654664288252,0.020838354677,-0.127631756433,0.023327753947,0.014415793267,-0.097593812065,-0.104289633318,0.005772642537,0.050293222908,0.001687213968,0.118942910919,0.001586706268,0.024885447041,-0.069978958596,-0.123879146725,0.034380267026,-0.018145553535
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Nuevo León<C1>,NA,0.40443453392,-0.1293074042,-0.258379665335,1.008639070645,-0.525688769108,-0.520399085655,0.217409875142,-0.179963626229,0.176117614376,-0.326934890035,0.204398993338,0.611169844126,-0.179473192845,0.097558132553,0.034672356205,0.004773290548,0.534449480265
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Oaxaca<C1>,NA,0.000328967223,0.094907410873,0.029529553817,-0.146721874011,0.005042395721,0.016407947062,0.015076171016,0.377298577725,0.666477327822,0.16465442096,0.639201203865,0.155756520389,0.077058235545,0.044704030948,-0.20130529254,-0.132717911743,-0.650812794402
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Puebla<C1>,NA,0.006845120234,0.43267143198,0.273237989707,0.395072841754,-0.156623731137,-1.037061132744,0.024845164272,0.233801278347,0.006529288952,-0.292786237084,0.061583659618,-0.000577545366,0.099021243822,-0.102013249747,0.032812934212,0.159253425082,0.001818058876
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Querétaro<C1>,NA,-0.054319551047,0.043904457342,0.010542563259,0.185726312125,0.053811653709,0.357199054959,0.047585082754,0.047468379777,0.094505294896,0.299854641055,0.154159946187,-0.284049608015,-0.047167636829,0.045538558523,-0.023646019949,-0.330304894432,0.081859542743
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Quintana Roo<C1>,NA,0.666105656745,-0.413756960465,0.500891637032,-0.599551885266,0.059097891991,-0.046952794113,-0.232244514082,-0.373393429191,-0.242732795524,0.002435537518,0.2650368899,0.029596253357,-0.084874433779,-0.044474742432,0.117681417847,0.026917481375,-0.093400147132
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,NA,0.285489650752,0.254036340736,0.387292000065,0.21625807303,0.972806543321,-0.03856440939,-0.124184206036,0.353118695406,0.258236854451,0.00353013501,-0.681342474361,0.386712927321,-0.331352180123,-0.23001046573,0.161570286678,-0.167336581316,-0.251875806366
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Sinaloa<C1>,NA,0.04048062483,-0.372705802745,-0.274766979755,0.308121912198,0.252420301476,0.007541487947,0.187574135965,-0.078027502,-0.106009611278,0.106879543491,-0.031829897068,0.519748734426,0.092547642982,-0.107054498622,-0.046109945561,-0.301769419509,-0.327830565537
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Sonora<C1>,NA,3.064370568381,4.247629266235,-3.516391752029,3.478396585683,-6.303908128117,-2.522007461184,2.285853031437,10.041355772167,3.181064520986,0.940795505002,-0.205023253757,5.37806203861,5.823919192496,-0.904517894221,-0.621494364396,1.160161628753,-0.879849404572
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Tabasco<C1>,NA,-0.123621979304,0.076280764398,0.001679137657,-0.048008649909,0.042251875764,0.035059047069,-0.023685647114,0.070524775426,0.029020887992,-0.036651005072,0.000978708556,0.016479967971,-0.119321937654,-0.053918950527,-0.03374703673,-0.002421750704,0.052371199112
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Tamaulipas<C1>,NA,-0.026318307105,0.02027072449,-0.007329718874,0.012986338206,0.002347450714,-0.034945920876,-0.001779667081,-0.004894785082,-0.008458368321,0.001913221624,0.005392269485,0.00603644355,0.001170153693,-0.003799269409,0.007828275089,-0.001892549447,-0.009759736755
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Tlaxcala<C1>,NA,0.050719497316,-0.067415218506,0.077795328103,0.015729279794,0.000618181907,-0.028589158612,0.043384383014,-0.044963673753,0.070222407871,-0.08240448302,-0.018839145659,-0.0135608101,0.007782459249,0.002626489631,0.004287675222,0.045177544559,-0.024720857488
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,NA,0.029974117993,-0.122044054661,0.405544760956,0.538005439982,-0.703045083537,-0.037159630016,0.547996295192,-0.155769504535,0.029879871892,-0.010516037471,0.000203921284,-0.237005198391,-0.060690007875,-0.050039636703,0.006092849005,-0.050064010822,0.047563826708
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Yucatán<C1>,NA,-0.036773703215,-0.001696652867,0.051752972154,0.066586859445,-0.081869207891,0.009491752527,0.086484802643,-0.078696752614,0.125758024058,-0.07707325872,0.050254383849,0.001024876422,-0.016336630843,0.017306635275,-0.005713111532,-0.018162606318,-0.003479267728
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Zacatecas<C1>,NA,0.315383850153,0.995955728481,-0.412875265943,0.91237552767,3.429708265417,3.648574658003,7.34086967263,0.240918829832,0.248487798033,-2.221153859953,2.285946796551,0.099140236445,-4.471780091565,-0.44411171674,-2.716214095719,-1.472903328983,0.624976738629
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,45502.55299999999,57094.322,70427.056,90624.876,106255.93500000001,97900.85099999998,100712.15299999999,132848.3,182317.472,197053.61,176048.32299999995,173292.502,190086.783,231761.569,260145.76499999998,276736.73699999996,279541.786,329716.349
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,424.616,439.006,392.556,416.886,503.421,451.393,530.475,481.875,483.017,534.424,1009.658,1074.511,928.547,933.555,1086.233,988.414,944.412,1159.77
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,492.895,525.493,483.106,492.339,534.056,515.953,458.071,474.862,466.142,474.521,472.977,479.823,616.178,686.332,784.041,800.047,827.565,970.293
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,1338.704,1611.492,1596.219,1505.839,1866.034,1971.343,3021.561,2746.261,2392.189,2718.202,3751.217,3954.083,5181.996,6589.321,6709.482,6952.155,6530.433,6870.748
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,119.161,133.918,158.203,185.737,183.741,147.859,166.625,180.076,164.572,171.88,167.568,140.172,149.912,142.004,120.441,116.572,127.688,128.733
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,6402.094,6451.671,8583.17,9105.841,10391.79,11264.66,10356.237,13112.154,16421.235,16722.557,16190.468,17237.702,17374.369,18533.644,20550.622,23088.41,23111.191,19017.688
